name,animaltype,breed,colour,sex,suburb,AgeYears
TIKI ,DOG ,ALASKAN MALAMUTE ,BLACK AND WHITE ,F,BANNOCKBURN,
PUSS ,CAT ,DOMESTIC SHORT HAIR ,TABBY ,F,BANNOCKBURN,
ZAC ,CAT ,DOMESTIC SHORT HAIR ,DARK GREY/LIGHT GRAY ,M,BANNOCKBURN,
BELLA ,DOG ,GERMAN SHEPHERD ,BLACK/TAN ,F,BANNOCKBURN,
TIGER ,CAT ,DOMESTIC SHORT HAIR ,GINGER ,M,BANNOCKBURN,
MAGGIE ,DOG ,FOX TERRIER ,BLACK/WHITE SMOOTH ,F,BANNOCKBURN,
BELLA ,DOG ,FOX TERRIER ,TAN/WHITE ,F,BANNOCKBURN,
TIGER ,CAT ,DOMESTIC SHORT HAIR ,TABBY ,M,BANNOCKBURN,
PATERSON3 ,DOG ,KELPIE X COLLIE ,BLACK/ BROWN ,M,BANNOCKBURN,
BANJO ,DOG ,STAFFORDSHIRE BULL TERRIER X ,BRINDLE ,F,BANNOCKBURN,
MICKEY ,CAT ,TONKINESE ,SEAL POINT ,M,BANNOCKBURN,
PIPPA ,DOG ,GREAT DANE ,FAWN ,F,BANNOCKBURN,
BONNIE ,DOG ,KELPIE ,BLACK & TAN ,F,BANNOCKBURN,
RAPHY ,DOG ,MALT./SHIH TZU X ,WHITE AND BROWN ,M,BANNOCKBURN,
CHESTER ,DOG ,CAVALIER KING CHARLES SPANIEL ,RUBY ,M,BANNOCKBURN,
DARCY ,CAT ,ABYSSINIAN ,BLACK AND WHITE ,M,BANNOCKBURN,
SUGAR ,DOG ,GOLDEN RETRIEVER ,GOLDEN ,F,ROSS CREEK,
LOOPSY ,DOG ,CROSS BREED DOG ,GOLDEN ,F,ROSS CREEK,
PUMPKIN ,CAT ,DOMESTIC SHORT HAIR ,"GREY, ORANGE, WHITE ",F,BANNOCKBURN,
RUSTY ,DOG ,RHODESIAN RIDGEBACK X ,TAN/WHITE ,M,BANNOCKBURN,
SPUD ,CAT ,DOMESTIC SHORT HAIR ,TORTISE ,F,BANNOCKBURN,
RORY ,DOG ,MALTESE TERRIER X ,BLACK ,M,INVERLEIGH,
CLYDE ,DOG ,BORDER COLLIE ,BLACK/WHITE ,M,INVERLEIGH,
JEEP ,DOG ,GERMAN SHEPHERD ,BLACK AND TAN ,M,INVERLEIGH,
JEMMA ,DOG ,WHIPPET ,FAWN/BRINDLE ,F,INVERLEIGH,
NANCY ,DOG ,WHIPPET ,WHITE & BLUE ,F,INVERLEIGH,
BASIL ,DOG ,KING CHARLES SPANIEL ,BLENHEIM ,M,BANNOCKBURN,
OLLIE ,DOG ,CAVALIER KING CHARLES SPANIEL ,BLENHEIM ,M,BANNOCKBURN,
 ,DOG ,GERMAN SHEPHERD ,BLACK & TAN ,M,BERRINGA,
 ,DOG ,LABRADOR ,GOLDEN ,F,BERRINGA,
DOOFA ,DOG ,BORDER COLLIE X ,BLACK & WHITE ,M,BANNOCKBURN,
SCOTTY ,DOG ,JACK RUSSELL TERRIER ,WHITE/TAN ,M,BANNOCKBURN,
CLANCY ,CAT ,DOMESTIC SHORT HAIR ,WHITE & GRAY ,M,BANNOCKBURN,
PHOEBE ,DOG ,CAVALIER KING CHARLES SPANIEL ,TRI COLOUR ,F,BANNOCKBURN,
BINDI ,DOG ,JACK RUSSELL X ,TAN/WHITE ,F,BANNOCKBURN,
MERLIN ,CAT ,DOMESTIC SHORT HAIR ,GREY/WHITE ,M,BANNOCKBURN,
BUD ,DOG ,LABRADOR ,BLACK ,M,BANNOCKBURN,
 ,CAT ,DOMESTIC LONG HAIR ,BLACK ,F,BANNOCKBURN,
FERAL ,CAT ,SCOTTISH FOLD ,BLUE CREAM WHITE ,F,MEREDITH,
KITTEN A ,CAT ,PETERBALD ,CHOC/WHITE ,M,MEREDITH,
KATRINA ,CAT ,SIAMESE ,BLUE /WHITE POINTED ,F,MEREDITH,
FELICITY ,CAT ,PETERBALD ,TABBY ,F,MEREDITH,
PURPLE ,CAT ,SIAMESE ,LILAC/WHITE ,M,MEREDITH,
KITTEN C ,CAT ,PETERBALD ,CHOC/WHITE POINTED ,M,MEREDITH,
KATRI ,CAT ,SIAMESE ,TABBY/WHITE POINTED ,F,MEREDITH,
ZIGGY ,CAT ,PETERBALD ,LILAC ,M,MEREDITH,
KITTEN B ,CAT ,PETERBALD ,CHOC/WHITE POINTED ,M,MEREDITH,
TWITTER ,CAT ,PETERBALD ,TABBY ,F,MEREDITH,
BARBIE ,CAT ,PETERBALD ,CHOC/WHITE TICKED ,F,MEREDITH,
JILL ,DOG ,GREAT DANE X ,TAN/BROWN ,F,MEREDITH,
KITTEN D ,CAT ,PETERBALD ,CHOC/WHITE POINTED ,M,MEREDITH,
JASPER ,DOG ,LABRADOR X ,GOLD/CREAM ,M,BANNOCKBURN,
SUSIE ,DOG ,KELPIE ,BLACK/TAN ,F,NAPOLEONS,
MACK ,DOG ,KELPIE ,RED/TAN ,M,NAPOLEONS,
TREVOR ,DOG ,BORDER COLLIE X ,BLACK/WHITE ,M,SCARSDALE,
PENNY ,DOG ,BORDER COLLIE ,TAN/WHITE ,F,BANNOCKBURN,
SOPHIE ,DOG ,JACK RUSSELL TERRIER ,TAN/WHITE ,F,BANNOCKBURN,
HOLLY ,DOG ,CROSS BREED DOG ,GOLDEN ,F,BANNOCKBURN,
.HUMPHREY ,DOG ,SPOODLE ,BROWN ,M,BANNOCKBURN,
FLETCHER ,DOG ,LABRADOR X ,BLACK ,F,BANNOCKBURN,
RUBY ,DOG ,CAVALIER KING CHARLES SPANIEL ,RUBY ,F,BANNOCKBURN,
ZAC ,DOG ,BORDER COLLIE ,BLACK/WHITE ,M,BANNOCKBURN,
CHLOE ,DOG ,BORDER COLLIE ,BROWN WHITE & BLACK ,F,BANNOCKBURN,
LITTLE GIRL ,CAT ,BOMBAY ,BLACK ,F,BANNOCKBURN,
MITTEN ,CAT ,AUSTRALIAN TIFFANY ,WHITE ,M,BANNOCKBURN,
ZOE ,DOG ,PUGALIER ,FAWN ,F,BANNOCKBURN,
CHARLIE ,DOG ,KING CHARLES SPANIEL ,RUBY ,M,BANNOCKBURN,
BOBBY ,DOG ,LABRADOR X ,BALCK ,M,CAMBRIAN HILL,
TOBY ,DOG ,JACK RUSSELL X ,WHITE/TAN ,M,LETHBRIDGE,
ROXIE ,DOG ,KELPIE ,BROWN AND TAN ,F,MOUNT MERCER,
JASMINE ,DOG ,CAVALIER KING CHARLES SPANIEL ,"RUBY, TWO WHITE SOCKS ",F,CAMBRIAN HILL,
BUDDY ,DOG ,SHIH TZU ,TAN & WHITE ,M,BANNOCKBURN,
MILLY ,DOG ,BORDER COLLIE ,CHOCOLATE AND WHITE ,F,MEREDITH,
RUSTY ,DOG ,CHIHUAHUA X ,BROWN/TAN ,M,SMYTHES CREEK,
ELLY ,DOG ,MALT./SHIH TZU X ,"WHITE, CREAM & GREY ",F,SMYTHES CREEK,
BENJI ,DOG ,BORDER COLLIE ,BLACK AND WHITE ,M,ROKEWOOD,
FINN ,DOG ,MALTESE ,WHITE ,M,GHERINGHAP,
LOCHEY ,CAT ,EXOTIC ,GREY & WHITE ,M,BAMGANIE,
ALICE ,CAT ,DOMESTIC SHORT HAIR ,GREY & WHITE ,F,BAMGANIE,
SHELBY ,DOG ,GERMAN SHORTHAIRED POINTER ,LIVER & WHITE ,F,SMYTHES CREEK,
NALA ,DOG ,BOXER X ,BRINDLE ,F,BANNOCKBURN,
COVU ,DOG ,BOXER ,RED/WHITE ,M,BANNOCKBURN,
HOMER ,DOG ,GOLDEN RETRIEVER ,BLONDE ,M,BANNOCKBURN,
LILEY ,DOG ,STAFFORDSHIRE BULL TERRIER ,TAN ,F,BANNOCKBURN,
MOOCH ,DOG ,STAFFORDSHIRE BULL TERRIER ,BRINDLE ,F,SMYTHESDALE,
CLYDE ,DOG ,ENGLISH MASTIFF ,TAN ,M,SMYTHESDALE,
JETHRO ,DOG ,BORDER COLLIE ,BLACK & WHITE ,M,BANNOCKBURN,
REUBEN ,DOG ,BORDER COLLIE X ,GREY MERLE/WHITE ,M,BANNOCKBURN,
FLOYD ,CAT ,DOMESTIC SHORT HAIR ,TABBY ,M,BANNOCKBURN,
BONNIE ,DOG ,LABRADOR ,GOLD ,F,LETHBRIDGE,
CHLOE ,DOG ,BORDER COLLIE ,BLACK/WHITE ,F,LETHBRIDGE,
BOUNCER ,DOG ,KELPIE X ,BLACK AND WHITE ,M,LETHBRIDGE,
ROCKY ,DOG ,RHODESIAN RIDGEBACK X ,FAWN ,M,HADDON,
SAM ,DOG ,LABRADOR ,BLACK ,M,HADDON,
MO ,CAT ,DOMESTIC LONG HAIR ,GREY ,M,MEREDITH,
MISTY BLUE ,CAT ,BIRMAN ,BLUE POINT ,F,BANNOCKBURN,
PIPPA ,DOG ,JACK RUSSELL TERRIER ,WHITE AND BROWN ,F,BANNOCKBURN,
COCO ,CAT ,BIRMAN ,SEAL POINT ,F,BANNOCKBURN,
MINDY ,DOG ,STAFFORDSHIRE BULL TERRIER ,BLACK WHITE CHEST ,F,BANNOCKBURN,
MORK ,DOG ,SHITZHU X ,SABLE BROWN ,M,BANNOCKBURN,
COBBER ,DOG ,TOY POODLE ,BLACK WITH WHITE MARKINGS,M,BANNOCKBURN,
ZAC ,DOG ,POMERANIAN ,TAN ,M,BANNOCKBURN,
GIZMO ,DOG ,PUG ,GOLDEN BROWN ,M,BANNOCKBURN,
MADDY ,DOG ,CURLY COATED RETRIEVER ,BLACK ,F,NAPOLEONS,
TIGGER ,CAT ,DOMESTIC LONG HAIR ,GINGER/WHITE ,M,NAPOLEONS,
JACK ,DOG ,JACK RUSSELL TERRIER ,WHITE & TAN ,M,BANNOCKBURN,
NOAH ,DOG ,GOLDEN RETRIEVER ,GOLDEN ,M,BANNOCKBURN,
MILLY ,DOG ,PAPILLON ,APRICOT & WHITE ,F,BANNOCKBURN,
DOBBIE ,DOG ,BORDER COLLIE ,TRI COLOUR ,M,BANNOCKBURN,
MUSSIE ,CAT ,DOMESTIC SHORT HAIR ,BLACK & WHITE ,M,BANNOCKBURN,
SASSAFRAS ,DOG ,BRITTANY SPANIEL ,LIVER/WHITE ,F,BANNOCKBURN,
BANJO ,CAT ,DOMESTIC LONG HAIR ,BLACK/WHITE ,M,BANNOCKBURN,
OSCAR ,DOG ,POODLE ,WHITE ,M,BANNOCKBURN,
MILLIE ,DOG ,DOBERMAN ,BLACK/TAN ,F,BANNOCKBURN,
SIMBA ,CAT ,DOMESTIC SHORT HAIR ,LIGHT GINGER ,M,BANNOCKBURN,
BONNIE ,DOG ,LABRADOR ,BLACK ,F,BANNOCKBURN,
YASMIN ,CAT ,SIAMESE ,BLACK ,F,BANNOCKBURN,
TESS ,DOG ,LABRADOR ,BLACK ,F,BANNOCKBURN,
ELSIE ,DOG ,LABRADOR ,GOLDEN ,F,BANNOCKBURN,
CHIEF ,DOG ,BEAGLE ,TRI ,M,BANNOCKBURN,
TESS ,DOG ,BEAGLE ,TAN/WHITE ,F,BANNOCKBURN,
HERCULES ,DOG ,GERMAN SHORTHAIRED POINTER ,LIVER ,M,BANNOCKBURN,
ZORRO ,DOG ,BORDER COLLIE ,BLACK & WHITE ,M,BANNOCKBURN,
MILO ,DOG ,AUSTRALIAN TERRIER ,TAN ,M,BANNOCKBURN,
SOXON ,DOG ,CORGI ,TAN AND WHITE ,M,BANNOCKBURN,
LACEY ,DOG ,CORGI ,TRI ,F,BANNOCKBURN,
PENNY ,CAT ,DOMESTIC LONG HAIR ,TABBY & WHITE ,F,BANNOCKBURN,
ANGUS ,DOG ,CAVALIER KING CHARLES SPANIEL ,TAN/WHITE ,M,BANNOCKBURN,
TOBY ,DOG ,SHIH TZU ,TAN ,M,BANNOCKBURN,
LISA ,DOG ,LABRADOR ,GOLDEN ,F,BANNOCKBURN,
OLLIE ,CAT ,DOMESTIC SHORT HAIR ,TABBY ,M,BANNOCKBURN,
DUKE ,DOG ,LABRADOR ,BROWN ,M,BANNOCKBURN,
IVY ,CAT ,DOMESTIC SHORT HAIR ,GREY TABBY ,M,BANNOCKBURN,
LEXI ,DOG ,WHIPPET ,TAN ,F,BANNOCKBURN,
JAZZ ,DOG ,LABRADOR ,BLACK ,F,BANNOCKBURN,
BONNIE ,DOG ,KING CHARLES SPANIEL ,WHITE/TAN ,F,BANNOCKBURN,
LUCY ,DOG ,LABRADOR ,BLACK ,F,BANNOCKBURN,
ELLI ,CAT ,DOMESTIC SHORT HAIR ,BRINDLE ,F,BANNOCKBURN,
INDI ,CAT ,DOMESTIC SHORT HAIR ,BLACK ,F,BANNOCKBURN,
TINKERBELL ,DOG ,BORDER COLLIE ,BLACK AND WHITE ,F,BANNOCKBURN,
GEMMA ,DOG ,LABRADOR X ,BLACK ,F,BANNOCKBURN,
SHANGANI ,DOG ,RHODESIAN RIDGEBACK X ,TAN/BLACK ,M,BANNOCKBURN,
LIZCENIE ,DOG ,RHODESIAN RIDGEBACK X ,BLACK/TAN ,F,BANNOCKBURN,
EARTHA KIT KAT ,CAT ,DOMESTIC SHORT HAIR ,BLACK ,F,BANNOCKBURN,
SIRROCCO ,CAT ,DOMESTIC SHORT HAIR ,GREY/WHITE ,M,BANNOCKBURN,
CUDA ,CAT ,DOMESTIC LONG HAIR ,GREY ,M,BANNOCKBURN,
SCOOBY ,DOG ,STAFFORDSHIRE BULL TERRIER ,BRINDLE/WHITE ,M,SCARSDALE,
DOG ,DOG ,JACK RUSSELL TERRIER ,TAN & WHITE ,F,ROSS CREEK,
MAXI ,DOG ,AMERICAN BULL DOG ,WHITE/BRINDLE ,F,ROSS CREEK,
COUPE ,DOG ,KELPIE ,BLACK AND TAN ,M,BANNOCKBURN,
BRISKO ,CAT ,DOMESTIC SHORT HAIR ,GREY AND WHITE TABBY ,M,BANNOCKBURN,
CLEO ,DOG ,POMERANIAN ,TAN ,F,LETHBRIDGE,
EBONY ,DOG ,SHIH TZU ,BLACK AND TAN ,F,LETHBRIDGE,
ELLY ,DOG ,MINIATURE FOX TERRIER ,TAN AND WHITE ,F,SMYTHES CREEK,
PHEOBE ,DOG ,COLLIE ,TAN AND WHITE ,F,SMYTHES CREEK,
MISTY ,CAT ,DOMESTIC SHORT HAIR ,GREY ,F,SMYTHES CREEK,
DRAKE ,DOG ,KELPIE ,RED AND TAN ,M,MAUDE,
HENRY ,DOG ,DALMATIAN ,BROWN/WHITE ,M,MAUDE,
RUBY ,DOG ,BORDER COLLIE X ,BLACK AND WHITE ,F,SMYTHES CREEK,
MASSEY ,DOG ,RHODESIAN RIDGEBACK X ,SANDY WITH BLACK MUZZLE ,F,SMYTHES CREEK,
BONNIE ,DOG ,STAGHOUND ,WHITE/BRINDLE ,F,BANNOCKBURN,
GYPSEY ,DOG ,JACK RUSSELL X ,BROWN/WHITE ,F,BANNOCKBURN,
JIMMY ,CAT ,DOMESTIC LONG HAIR ,GINGER ,M,BANNOCKBURN,
ELLY ,DOG ,SILKY TERRIER ,BLACK/TAN ,F,INVERLEIGH,
PENNY ,DOG ,AUSTRALIAN SILKY TERRIER ,BLACK/TAN ,F,INVERLEIGH,
ROCKY ,DOG ,STAFFORDSHIRE BULL TERRIER ,BRINDLE & WHITE ,M,NAPOLEONS,
BELLA ,DOG ,KELPIE ,BLACK AND TAN ,F,SMYTHESDALE,
SILVER ,CAT ,RUSSIAN ,GREY/BLUE ,F,STAFFORDSHIRE REEF,
CRACKER ,CAT ,SEAL POINT SIAMESE ,CREAM/BROWN ,M,STAFFORDSHIRE REEF,
JACKSON ,DOG ,SPOODLE ,APRICOT ,M,TEESDALE,
PENNY ,DOG ,MINATURE SCHNAUZER ,SALT & PEPPER ,F,TEESDALE,
SCAMP ,DOG ,BEAGLE ,BROWN/WHITE ,M,SMYTHES CREEK,
HERCULES ,DOG ,STAFFORDSHIRE BULL TERRIER ,BLACK/BRINDLE ,M,CAMBRIAN HILL,
CADENZAHGOLD CATINA ,DOG ,GOLDEN RETRIEVER ,GOLD ,F,CAMBRIAN HILL,
KAAHUUA ,DOG ,GOLDEN RETRIEVER ,GOLD ,F,CAMBRIAN HILL,
CADENZAHGOLD LITTLE RIVER ,DOG ,GOLDEN RETRIEVER ,GOLD ,F,CAMBRIAN HILL,
CADENZAHGOLD FOXY ROXY ,DOG ,GOLDEN RETRIEVER ,GOLD ,F,CAMBRIAN HILL,
GOLDSTEEL SUPER BUFFY ,DOG ,GOLDEN RETRIEVER ,GOLDEN ,F,CAMBRIAN HILL,
CADENZAHGOLD MEEKAH ,DOG ,GOLDEN RETRIEVER ,GOLD ,F,CAMBRIAN HILL,
MOLLY ,CAT ,DOMESTIC SHORT HAIR ,GREY/WHITE ,F,BANNOCKBURN,
VIOLET ,CAT ,DOMESTIC SHORT HAIR ,TORTOISE ,F,BANNOCKBURN,
DARBY ,DOG ,IRISH SETTER ,RED ,M,BANNOCKBURN,
BILLIE ,DOG ,IRISH SETTER ,RED ,F,BANNOCKBURN,
OLLIE ,CAT ,TABBY ,GREY AND WHITE ,M,BANNOCKBURN,
BEAUTY ,DOG ,ROTTWEILER ,BLACK/TAN ,F,BANNOCKBURN,
MIFFY ,DOG ,LABRADOR ,BLACK ,F,CAPE CLEAR,
KHALA ,DOG ,LABRADOR ,CHOCOLATE ,F,CAPE CLEAR,
COOPER ,DOG ,LABRADOR X ,GOLD ,M,INVERLEIGH,
MOLLY ,DOG ,LABRADOR ,GOLDEN ,F,BANNOCKBURN,
BUSTER ,DOG ,GOLDEN RETRIEVER ,GOLDEN ,M,BANNOCKBURN,
DENI ,DOG ,FOX TERRIER ,TAN ,F,BANNOCKBURN,
SPOTTY BUM ,DOG ,FOX TERRIER ,TAN/WHITE ,M,BANNOCKBURN,
MAGGIE ,DOG ,LABRADOR ,GOLDEN ,F,BANNOCKBURN,
GINGER ,DOG ,KELPIE ,BLACK/TAN ,F,BANNOCKBURN,
SOXS ,CAT ,TABBY ,BLACK/WHITE ,M,BANNOCKBURN,
BRUISER ,DOG ,STAFFORDSHIRE BULL TERRIER ,TAN/WHITE ,M,BANNOCKBURN,
CASEY ,DOG ,STAFFORDSHIRE BULL TERRIER ,TAN ,F,BANNOCKBURN,
DAISY ,DOG ,JACK RUSSELL TERRIER ,TRI COLOR ,F,BANNOCKBURN,
RUBY ,DOG ,PUG ,BLACK & WHITE ,F,BANNOCKBURN,
FLASH ,CAT ,RAG DOLL CAT ,BLACK/WHITE/GINGER ,F,BANNOCKBURN,
MAGGIE ,DOG ,GERMAN WIREHAIRED POINTER ,BLACK/ROAN ,F,BANNOCKBURN,
BOB ,CAT ,DOMESTIC LONG HAIR ,GINGER AND WHITE ,M,BANNOCKBURN,
RONNIE ,CAT ,TABBY ,BLACK/WHITE ,M,BANNOCKBURN,
REGGIE ,CAT ,TABBY ,GINGER/WHITE ,F,BANNOCKBURN,
BETTY ,DOG ,SPANIEL ,GOLD ,F,MEREDITH,
OLLY ,DOG ,MALT./SHIH TZU X ,WHITE ,M,BANNOCKBURN,
LOTTIE ,DOG ,MALT./SHIH TZU X ,BLACK AND WHITE ,F,BANNOCKBURN,
CHOPS ,DOG ,POMERANIAN ,TAN ,M,BANNOCKBURN,
CHISEL ,DOG ,POMERANIAN ,BROWN ,M,BANNOCKBURN,
AXEL ,DOG ,RHODESIAN RIDGEBACK ,RED ,M,BANNOCKBURN,
LEVI ,CAT ,BURMESE ,LILAC ,M,BANNOCKBURN,
JAKE ,DOG ,STAFFORDSHIRE BULL TERRIER ,TAN ,M,BANNOCKBURN,
STAR ,DOG ,STAFFORDSHIRE BULL TERRIER ,TAN ,F,BANNOCKBURN,
RON ,CAT ,DOMESTIC SHORT HAIR ,TABBY/WHITE ,M,BANNOCKBURN,
ROCKY ,CAT ,DOMESTIC LONG HAIR ,TABBY/WHITE ,M,BANNOCKBURN,
SARGE ,DOG ,GERMAN SHEPHERD ,SABLE ,M,BANNOCKBURN,
LOLA ,DOG ,LABRADOR X ,BLACK & WHITE ,F,BANNOCKBURN,
PRESTON ,DOG ,BERNESE MOUNTAIN DOG ,BLACK/TAN WHITE ,M,BANNOCKBURN,
CHARLIE ,DOG ,LABRADOR X ,BLACK ,M,BANNOCKBURN,
PIPPA ,DOG ,CORGI ,TAN & WHITE ,F,BANNOCKBURN,
LILY ,DOG ,BORDER COLLIE ,BLACK & WHITE ,F,BANNOCKBURN,
PHOEBE ,DOG ,BEAGLE ,TRI COLOUR ,F,BANNOCKBURN,
COOPER ,DOG ,BORDER COLLIE ,BLACK & WHITE ,M,LINTON,
BROWN DOG ,DOG ,MALT./SHIH TZU X ,CREAM ,M,LINTON,
DUSTY ,DOG ,LABRADOR X ,BLACK ,M,TEESDALE,
RUBY ,CAT ,DOMESTIC SHORT HAIR ,SILVER/WHITE ,F,TEESDALE,
SCRUFFY ,DOG ,MALT./SHIH TZU X ,BROWN AND WHITE ,M,BANNOCKBURN,
BELLA ,DOG ,CHIHUAHUA ,BLACK WHITE ,F,TEESDALE,
KUZCO ,CAT ,DOMESTIC SHORT HAIR ,TAN AND WHITE ,M,TEESDALE,
SUSY ,DOG ,JAPANESE SPITZ ,WHITE ,F,CAMBRIAN HILL,
BEAR ,DOG ,JAPANESE SPITZ ,WHITE ,M,CAMBRIAN HILL,
KEISHA ,DOG ,JAPANESE SPITZ ,WHITE ,F,CAMBRIAN HILL,
KATIE ,CAT ,SIAMESE ,SEAL PONT ,F,CAMBRIAN HILL,
BEAR ,DOG ,JACK RUSSELL TERRIER ,WHITE/TAN ,M,SCARSDALE,
CHUBBA ,DOG ,RHODESIAN RIDGEBACK ,TAN ,F,SCARSDALE,
PANDA ,CAT ,MOGGIE ,WHITE/BLACK ,M,SCARSDALE,
TAYLOR ,DOG ,MALT./SHIH TZU X ,WHITE ,F,INVERLEIGH,
SHERPA ,CAT ,HIMALAYAN ,BROWN ,M,INVERLEIGH,
PEPRO ,DOG ,KELPIE ,BROWN ,M,NAPOLEONS,
RUSTY ,DOG ,KELPIE ,BROWN ,M,NAPOLEONS,
SAM ,DOG ,KELPIE ,BLACK ,M,NAPOLEONS,
BAILEY ,DOG ,LABRADOR X ,GOLD ,M,BANNOCKBURN,
WALLY ,DOG ,CURLY COATED RETRIEVER ,BROWN ,M,BANNOCKBURN,
ZOE ,DOG ,DALMATIAN ,WHITE WITH BLACK SPOTS ,F,BANNOCKBURN,
BJ ,CAT ,ABYSSINIAN ,GREY AND TABBY ,M,BANNOCKBURN,
MAX ,DOG ,GERMAN SHORTHAIRED POINTER ,BLACK AND WHITE ,M,BANNOCKBURN,
JAZZ ,DOG ,RHODESIAN RIDGEBACK X ,TAN ,F,BANNOCKBURN,
SAM ,DOG ,BORDER COLLIE ,BLACK/WHITE ,M,BANNOCKBURN,
SANDY ,DOG ,KELPIE ,FAWN ,F,BANNOCKBURN,
ZOE ,DOG ,CHESAPEAKE ,BROWN ,F,INVERLEIGH,
PHOEBE ,DOG ,WHIPPET ,FAWN/WHITE ,F,INVERLEIGH,
SHARI ,DOG ,WHIPPET ,BRINDLE ,F,INVERLEIGH,
BEAU ,DOG ,WHIPPET ,FAWN / WHITE ,M,INVERLEIGH,
BENJI ,DOG ,LABRADOR ,GOLDEN ,M,INVERLEIGH,
ROXY ,DOG ,JACK RUSSELL TERRIER ,TAN/WHITE ,F,INVERLEIGH,
JASPER ,DOG ,ALASKAN MALAMUTE ,BLACK/WHITE ,M,INVERLEIGH,
WASHINGTON ,DOG ,HUSKY ,GREY/WHITE ,M,INVERLEIGH,
WAGGLES ,DOG ,ROTTWEILER ,BLACK & TAN ,M,INVERLEIGH,
PIPPA ,DOG ,ROTTWEILER ,BLACK & TAN ,F,INVERLEIGH,
AXLE ,DOG ,ENGLISH STAFFY ,BLUE & WHITE ,M,SCARSDALE,
BRAVE ,CAT ,DOMESTIC SHORT HAIR ,TABBY ,M,BATESFORD,
ZOE ,DOG ,BORDER COLLIE ,WHEATEN AND WHITE ,F,BATESFORD,
MEG ,CAT ,DOMESTIC SHORT HAIR ,TABBY ,F,BATESFORD,
GRACIE ,DOG ,WHIPPET ,BLUE ,F,BATESFORD,
RUSTY ,DOG ,GERMAN WIREHAIRED POINTER ,LIVER ,M,BATESFORD,
BILLY ,DOG ,GOLDEN RETRIEVER ,LIGHT GOLD ,M,BATESFORD,
ROSIE ,DOG ,ENGLISH SPRINGER SPANIEL ,LIVER WHITE ,F,BATESFORD,
LUCY ,CAT ,DOMESTIC SHORT HAIR ,BLACK BROWN WHITE ,F,BATESFORD,
MILLIE ,DOG ,MINIATURE FOX TERRIER ,BROWN/WHITE ,F,MEREDITH,
MAGGY ,DOG ,JACK RUSSELL TERRIER ,BROWN AND WHITE ,F,NAPOLEONS,
ELLE ,DOG ,RHODESIAN RIDGEBACK ,BROWN ,F,NAPOLEONS,
ROXY ,DOG ,POINTER ,BROWN ,F,NAPOLEONS,
YAPPA ,DOG ,JACK RUSSELL TERRIER ,BROWN AND WHITE ,F,NAPOLEONS,
ELTON ,DOG ,PUG ,SILVER ,M,BANNOCKBURN,
ZOE ,DOG ,AUSTRALIAN BULLDOG ,BRINDLE ,F,BANNOCKBURN,
POSSUM ,DOG ,PUG ,FAWN ,F,BANNOCKBURN,
BUFFY ,DOG ,KELPIE X ,RED AND WHITE ,F,INVERLEIGH,
CHARLIE ,DOG ,KELPIE X ,BROWN AND WHITE ,M,INVERLEIGH,
BAXTER ,DOG ,MALTESE TERRIER X ,WHITE ,M,BANNOCKBURN,
SANDY ,DOG ,MINIATURE FOX TERRIER ,SAND/WHITE ,F,SMYTHES CREEK,
SUZIE ,DOG ,JACK RUSSELL TERRIER ,WHITE AND BROWN ,F,INVERLEIGH,
MORTISHA ,CAT ,DOMESTIC SHORT HAIR ,BLACK ,F,BANNOCKBURN,
SUZIE ,DOG ,KELPIE X ,BLACK AND TAN ,F,LETHBRIDGE,
GEORGE ,DOG ,CATTLE DOG ,BLACK/WHITE ,M,LETHBRIDGE,
ROXY ,DOG ,KELPIE ,BLACK/TAN ,F,MAUDE,
JET ,DOG ,JACK RUSSELL TERRIER ,TAN/WHITE ,M,MAUDE,
COOPER ,DOG ,DACHSHUND ,BLACK ,M,BANNOCKBURN,
OSCAR ,DOG ,LABRADOR ,BLACK ,M,BANNOCKBURN,
BOSLEY ,DOG ,GROODLE ,BLACK ,M,BATESFORD,
BUDDHA ,DOG ,STAFFORDSHIRE BULL TERRIER ,RED/WHITE ,M,SMYTHES CREEK,
CASS ,DOG ,KELPIE ,BLACK & TAN ,F,SMYTHES CREEK,
CRUISER ,DOG ,BORDER COLLIE ,BLACK AND WHITE ,M,SMYTHES CREEK,
MONYET ,DOG ,BOXER ,RED ,F,BANNOCKBURN,
SASHA ,DOG ,BOXER ,BRINDLE ,F,BANNOCKBURN,
MARLI ,CAT ,DOMESTIC SHORT HAIR ,BLACK/WHITE ,F,BANNOCKBURN,
ZEV ,DOG ,SHEEP DOG ,WOLF GREY ,M,GHERINGHAP,
SPLASH ,DOG ,SHIH TZU ,TAN ,M,TEESDALE,
SHAGGY DOO ,DOG ,CAVALIER KING CHARLES SPANIEL ,TRI ,M,TEESDALE,
MOFF ,CAT ,DOMESTIC SHORT HAIR ,BLACK/WHITE ,M,TEESDALE,
BELLA ,DOG ,MASTIFF X ,BLACK/WHITE ,F,TEESDALE,
CHILLI POP ,DOG ,FOX TERRIER ,TRI COLOUR ,M,TEESDALE,
ROODI ,CAT ,HIMALAYAN ,CHOCOLATE/POINT ,M,TEESDALE,
PIPPA ,DOG ,BORDER COLLIE ,BLACK & WHITE ,F,TEESDALE,
NELLY ,DOG ,BLUE HEELER ,TRI COLOUR ,F,TEESDALE,
COCO ,DOG ,KELPIE ,BROWN ,F,TEESDALE,
